family,scientificNameWithoutAuthorship,scientificNameAuthorship
Isoetaceae,"Isoetes luetzelburgii",U.Weber
Fabaceae,"Mimosa bracteolaris",Benth.
Erythroxylaceae,"Erythroxylum substriatum",O.E.Schulz
Scrophulariaceae,"Buddleja speciosissima",Taub.
Acanthaceae,"Aphelandra aurantiaca","(Scheidw.) Lindl."
Ephedraceae,"Ephedra tweediana",C.A.Mey.
Acanthaceae,"Aphelandra espirito-santensis","Profice & Wassh."
Acanthaceae,"Aphelandra longiflora","(Lindl.) Profice"
MYRTACEAE,"Eugenia chlorocarpa",O.Berg
MYRTACEAE,"Eugenia martiana","(O.Berg) Mattos"
Lamiaceae,"Hesperozygis ringens","(Benth.) Epling"
LAMIACEAE,"Hesperozygis ringens","(Benth.) Epling"
LAMIACEAE,"Hesperozygis ringens","(Benth.) Epling"
Poaceae,"Paspalum niquelandiae",Filg.
